outlet_flow[1],   1.000000E+00,   2.368430E+00,   2.437168E+00,   2.502736E+00,   2.565432E+00,   2.682176E+00,   2.790254E+00,   2.890889E+00,   2.912083E+00,   2.932443E+00,   2.952014E+00,   2.970835E+00,   2.988943E+00,   3.016827E+00,   3.032695E+00,   3.047526E+00,   3.061398E+00,   3.074380E+00,   3.102205E+00,   3.126047E+00,   3.146522E+00,   3.164138E+00,   3.179318E+00,   3.192416E+00
outlet_flow[2],   1.000000E+00,   2.360575E+00,   2.422427E+00,   2.481727E+00,   2.538483E+00,   2.642801E+00,   2.737003E+00,   2.821524E+00,   2.896821E+00,   2.963371E+00,   3.021667E+00,   3.072214E+00,   3.115523E+00,   3.177437E+00,   3.218352E+00,   3.242247E+00,   3.252745E+00,   3.253093E+00,   3.226086E+00,   3.192775E+00,   3.164123E+00,   3.143980E+00,   3.132135E+00,   3.126605E+00
volume[1],   2.690000E+02,   2.861970E+02,   3.030503E+02,   3.195758E+02,   3.357878E+02,   3.670444E+02,   3.972202E+02,   4.263896E+02,   4.326646E+02,   4.387359E+02,   4.446115E+02,   4.502989E+02,   4.558052E+02,   4.643492E+02,   4.692468E+02,   4.738477E+02,   4.781713E+02,   4.822352E+02,   4.910037E+02,   4.985801E+02,   5.051328E+02,   5.108046E+02,   5.157175E+02,   5.199754E+02
volume[2],   2.690000E+02,   2.843017E+02,   2.993956E+02,   3.142332E+02,   3.287702E+02,   3.563468E+02,   3.822034E+02,   4.061733E+02,   4.281413E+02,   4.480391E+02,   4.658404E+02,   4.815560E+02,   4.952289E+02,   5.151076E+02,   5.284587E+02,   5.363349E+02,   5.398137E+02,   5.399292E+02,   5.310015E+02,   5.200926E+02,   5.107996E+02,   5.043169E+02,   5.005241E+02,   4.987582E+02
volume[1].tau,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01,   4.000000E+01
volume[1].tr_hi,   2.890000E+02,   3.146667E+02,   3.374815E+02,   3.577613E+02,   3.757878E+02,   4.046303E+02,   4.277042E+02,   4.461634E+02,   4.609307E+02,   4.727446E+02,   4.821956E+02,   4.897565E+02,   4.958052E+02,   5.038701E+02,   5.092468E+02,   5.128312E+02,   5.152208E+02,   5.168139E+02,   5.185839E+02,   5.193706E+02,   5.197203E+02,   5.198757E+02,   5.199447E+02,   5.199754E+02
volume[1].tr_lo,   2.490000E+02,   2.746667E+02,   2.974815E+02,   3.177613E+02,   3.357878E+02,   3.646303E+02,   3.877042E+02,   4.061634E+02,   4.209307E+02,   4.327446E+02,   4.421956E+02,   4.497565E+02,   4.558052E+02,   4.638701E+02,   4.692468E+02,   4.728312E+02,   4.752208E+02,   4.768139E+02,   4.785839E+02,   4.793706E+02,   4.797203E+02,   4.798757E+02,   4.799447E+02,   4.799754E+02
volume[1].trs_hi,   2.890000E+02,   3.146667E+02,   3.374815E+02,   3.577613E+02,   3.757878E+02,   4.046303E+02,   4.277042E+02,   4.461634E+02,   4.609307E+02,   4.727446E+02,   4.821956E+02,   4.897565E+02,   4.958052E+02,   5.038701E+02,   5.092468E+02,   5.128312E+02,   5.152208E+02,   5.168139E+02,   5.185839E+02,   5.193706E+02,   5.197203E+02,   5.198757E+02,   5.199447E+02,   5.199754E+02
volume[1].trs_lo,   2.490000E+02,   2.746667E+02,   2.974815E+02,   3.177613E+02,   3.357878E+02,   3.646303E+02,   3.877042E+02,   4.061634E+02,   4.209307E+02,   4.327446E+02,   4.421956E+02,   4.497565E+02,   4.558052E+02,   4.638701E+02,   4.692468E+02,   4.728312E+02,   4.752208E+02,   4.768139E+02,   4.785839E+02,   4.793706E+02,   4.797203E+02,   4.798757E+02,   4.799447E+02,   4.799754E+02
volume[1].sp_hi,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02,   5.200000E+02
